nohup: ignoring input
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 64]           1,984
              ReLU-2                   [-1, 64]               0
            Linear-3                  [-1, 128]           8,320
              ReLU-4                  [-1, 128]               0
            Linear-5                  [-1, 256]          33,024
              ReLU-6                  [-1, 256]               0
            Linear-7                  [-1, 128]          32,896
              ReLU-8                  [-1, 128]               0
            Linear-9                   [-1, 64]           8,256
             ReLU-10                   [-1, 64]               0
           Linear-11                   [-1, 32]           2,080
           Linear-12                   [-1, 32]           2,080
================================================================
Total params: 88,640
Trainable params: 88,640
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.01
Params size (MB): 0.34
Estimated Total Size (MB): 0.35
----------------------------------------------------------------
encoder: None
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 64]           2,112
              ReLU-2                   [-1, 64]               0
            Linear-3                  [-1, 128]           8,320
              ReLU-4                  [-1, 128]               0
            Linear-5                  [-1, 256]          33,024
              ReLU-6                  [-1, 256]               0
            Linear-7                  [-1, 128]          32,896
              ReLU-8                  [-1, 128]               0
            Linear-9                   [-1, 64]           8,256
             ReLU-10                   [-1, 64]               0
           Linear-11                   [-1, 30]           1,950
================================================================
Total params: 86,558
Trainable params: 86,558
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.01
Params size (MB): 0.33
Estimated Total Size (MB): 0.34
----------------------------------------------------------------
decoder: None
epoch=100, loss=5.96e-03, min_loss=5.96e-03, kld=3.37, recon=5.79e-03, size_dis=0.014, mean_size=0.11, max_size=5.00(1434), time=18.99
epoch=200, loss=5.91e-03, min_loss=5.89e-03, kld=3.45, recon=5.74e-03, size_dis=0.014, mean_size=0.11, max_size=4.85(1434), time=39.55
epoch=300, loss=5.98e-03, min_loss=5.84e-03, kld=3.15, recon=5.82e-03, size_dis=0.013, mean_size=0.11, max_size=4.91(3755), time=59.77
epoch=400, loss=5.60e-03, min_loss=5.56e-03, kld=4.26, recon=5.39e-03, size_dis=0.011, mean_size=0.11, max_size=4.83(1434), time=79.99
epoch=500, loss=5.44e-03, min_loss=5.43e-03, kld=4.24, recon=5.23e-03, size_dis=0.011, mean_size=0.09, max_size=4.81(3741), time=100.18
epoch=600, loss=5.13e-03, min_loss=5.13e-03, kld=5.61, recon=4.85e-03, size_dis=0.010, mean_size=0.11, max_size=1.89(3755), time=120.77
epoch=700, loss=5.05e-03, min_loss=5.03e-03, kld=5.58, recon=4.77e-03, size_dis=0.010, mean_size=0.09, max_size=0.43(1834), time=141.21
epoch=800, loss=5.02e-03, min_loss=4.98e-03, kld=5.71, recon=4.73e-03, size_dis=0.010, mean_size=0.10, max_size=0.44(1834), time=161.53
epoch=900, loss=4.95e-03, min_loss=4.94e-03, kld=5.94, recon=4.65e-03, size_dis=0.010, mean_size=0.10, max_size=0.43(1834), time=181.34
epoch=1000, loss=4.93e-03, min_loss=4.92e-03, kld=6.03, recon=4.62e-03, size_dis=0.009, mean_size=0.10, max_size=0.43(1834), time=201.17

1389, 1555, acc=4.57e-03, 5.28e-03, 9.24e-03, cov=7.80e-03, 8.84e-03, 1.13e-02

epoch=1100, loss=4.90e-03, min_loss=4.89e-03, kld=5.98, recon=4.60e-03, size_dis=0.009, mean_size=0.10, max_size=0.44(1834), time=428.56
epoch=1200, loss=4.89e-03, min_loss=4.87e-03, kld=6.03, recon=4.59e-03, size_dis=0.009, mean_size=0.10, max_size=0.44(1834), time=448.58
epoch=1300, loss=4.88e-03, min_loss=4.85e-03, kld=6.00, recon=4.58e-03, size_dis=0.009, mean_size=0.10, max_size=0.44(1834), time=468.61
epoch=1400, loss=4.86e-03, min_loss=4.81e-03, kld=6.02, recon=4.56e-03, size_dis=0.009, mean_size=0.09, max_size=0.43(1834), time=489.71
epoch=1500, loss=4.80e-03, min_loss=4.78e-03, kld=6.30, recon=4.49e-03, size_dis=0.009, mean_size=0.09, max_size=0.43(1834), time=511.35
epoch=1600, loss=4.79e-03, min_loss=4.73e-03, kld=6.38, recon=4.47e-03, size_dis=0.009, mean_size=0.09, max_size=0.58(3028), time=532.40
epoch=1700, loss=4.72e-03, min_loss=4.72e-03, kld=6.51, recon=4.40e-03, size_dis=0.009, mean_size=0.10, max_size=0.44(1834), time=554.12
epoch=1800, loss=4.79e-03, min_loss=4.69e-03, kld=6.45, recon=4.47e-03, size_dis=0.009, mean_size=0.09, max_size=0.44(1834), time=575.94
epoch=1900, loss=4.70e-03, min_loss=4.67e-03, kld=6.65, recon=4.37e-03, size_dis=0.009, mean_size=0.09, max_size=0.44(1834), time=597.62
epoch=2000, loss=4.81e-03, min_loss=4.66e-03, kld=6.57, recon=4.48e-03, size_dis=0.009, mean_size=0.09, max_size=0.45(1834), time=618.92

1376, 1555, acc=4.58e-03, 5.22e-03, 7.69e-03, cov=7.29e-03, 8.31e-03, 1.08e-02

epoch=2100, loss=4.71e-03, min_loss=4.67e-03, kld=6.56, recon=4.38e-03, size_dis=0.009, mean_size=0.10, max_size=0.44(1834), time=848.83
epoch=2200, loss=4.70e-03, min_loss=4.65e-03, kld=6.69, recon=4.36e-03, size_dis=0.009, mean_size=0.10, max_size=0.43(1834), time=869.21
epoch=2300, loss=4.80e-03, min_loss=4.64e-03, kld=6.62, recon=4.46e-03, size_dis=0.009, mean_size=0.09, max_size=0.42(1834), time=889.80
epoch=2400, loss=4.71e-03, min_loss=4.64e-03, kld=6.70, recon=4.37e-03, size_dis=0.009, mean_size=0.10, max_size=0.45(1834), time=910.17
epoch=2500, loss=4.79e-03, min_loss=4.63e-03, kld=6.71, recon=4.46e-03, size_dis=0.009, mean_size=0.10, max_size=0.44(1834), time=930.76
epoch=2600, loss=4.89e-03, min_loss=4.61e-03, kld=6.44, recon=4.57e-03, size_dis=0.009, mean_size=0.10, max_size=0.46(2165), time=951.41
epoch=2700, loss=4.65e-03, min_loss=4.60e-03, kld=6.75, recon=4.32e-03, size_dis=0.009, mean_size=0.10, max_size=0.45(1834), time=972.09
epoch=2800, loss=4.64e-03, min_loss=4.60e-03, kld=6.82, recon=4.30e-03, size_dis=0.009, mean_size=0.10, max_size=0.45(1834), time=993.41
epoch=2900, loss=4.66e-03, min_loss=4.58e-03, kld=6.87, recon=4.31e-03, size_dis=0.009, mean_size=0.10, max_size=0.45(1834), time=1015.61
epoch=3000, loss=4.68e-03, min_loss=4.56e-03, kld=6.87, recon=4.34e-03, size_dis=0.009, mean_size=0.10, max_size=0.45(1834), time=1037.26

1379, 1555, acc=4.60e-03, 5.21e-03, 8.52e-03, cov=7.17e-03, 8.11e-03, 1.14e-02

epoch=3100, loss=4.69e-03, min_loss=4.58e-03, kld=6.92, recon=4.35e-03, size_dis=0.009, mean_size=0.10, max_size=0.42(1834), time=1266.48
epoch=3200, loss=4.57e-03, min_loss=4.57e-03, kld=7.05, recon=4.22e-03, size_dis=0.009, mean_size=0.10, max_size=0.44(1834), time=1286.99
epoch=3300, loss=4.66e-03, min_loss=4.58e-03, kld=6.80, recon=4.32e-03, size_dis=0.009, mean_size=0.10, max_size=0.44(1834), time=1307.30
epoch=3400, loss=4.94e-03, min_loss=4.56e-03, kld=6.97, recon=4.59e-03, size_dis=0.009, mean_size=0.10, max_size=0.44(1834), time=1327.64
epoch=3500, loss=4.87e-03, min_loss=4.82e-03, kld=6.96, recon=4.52e-03, size_dis=0.009, mean_size=0.10, max_size=0.45(1834), time=1348.02
epoch=3600, loss=4.82e-03, min_loss=4.77e-03, kld=6.72, recon=4.49e-03, size_dis=0.009, mean_size=0.10, max_size=0.43(1834), time=1368.65
epoch=3700, loss=4.75e-03, min_loss=4.73e-03, kld=6.91, recon=4.41e-03, size_dis=0.009, mean_size=0.10, max_size=0.41(1834), time=1389.13
epoch=3800, loss=4.74e-03, min_loss=4.70e-03, kld=6.76, recon=4.40e-03, size_dis=0.009, mean_size=0.09, max_size=0.42(1834), time=1409.40
epoch=3900, loss=4.79e-03, min_loss=4.69e-03, kld=6.82, recon=4.45e-03, size_dis=0.009, mean_size=0.10, max_size=0.42(1834), time=1429.20
epoch=4000, loss=4.69e-03, min_loss=4.66e-03, kld=6.85, recon=4.34e-03, size_dis=0.009, mean_size=0.10, max_size=0.42(1834), time=1448.94

1291, 1555, acc=5.33e-03, 6.36e-03, 2.13e-02, cov=7.34e-03, 8.36e-03, 1.10e-02

epoch=4100, loss=4.67e-03, min_loss=4.67e-03, kld=6.80, recon=4.33e-03, size_dis=0.009, mean_size=0.10, max_size=0.41(1834), time=1678.86
epoch=4200, loss=4.85e-03, min_loss=4.64e-03, kld=6.92, recon=4.50e-03, size_dis=0.009, mean_size=0.10, max_size=0.61(124), time=1700.11
epoch=4300, loss=4.81e-03, min_loss=4.63e-03, kld=6.91, recon=4.47e-03, size_dis=0.009, mean_size=0.10, max_size=0.46(1089), time=1721.87
epoch=4400, loss=4.68e-03, min_loss=4.60e-03, kld=6.85, recon=4.33e-03, size_dis=0.009, mean_size=0.09, max_size=0.41(1834), time=1743.67
epoch=4500, loss=4.63e-03, min_loss=4.62e-03, kld=6.96, recon=4.28e-03, size_dis=0.009, mean_size=0.09, max_size=0.39(1834), time=1765.12
epoch=4600, loss=4.69e-03, min_loss=4.58e-03, kld=6.91, recon=4.34e-03, size_dis=0.009, mean_size=0.09, max_size=0.42(1834), time=1786.76
epoch=4700, loss=4.67e-03, min_loss=4.58e-03, kld=6.82, recon=4.32e-03, size_dis=0.009, mean_size=0.10, max_size=0.42(1834), time=1809.01
epoch=4800, loss=4.80e-03, min_loss=4.60e-03, kld=6.74, recon=4.46e-03, size_dis=0.009, mean_size=0.10, max_size=0.44(3793), time=1830.41
epoch=4900, loss=4.63e-03, min_loss=4.58e-03, kld=6.92, recon=4.28e-03, size_dis=0.009, mean_size=0.09, max_size=0.39(1834), time=1852.19
epoch=5000, loss=4.66e-03, min_loss=4.57e-03, kld=6.87, recon=4.32e-03, size_dis=0.009, mean_size=0.10, max_size=0.46(1834), time=1873.82

1352, 1555, acc=4.78e-03, 5.51e-03, 1.27e-02, cov=7.19e-03, 8.24e-03, 1.09e-02

epoch=5100, loss=4.81e-03, min_loss=4.55e-03, kld=6.84, recon=4.46e-03, size_dis=0.009, mean_size=0.10, max_size=0.42(1834), time=2103.83
epoch=5200, loss=4.67e-03, min_loss=4.63e-03, kld=6.90, recon=4.32e-03, size_dis=0.009, mean_size=0.09, max_size=0.42(1834), time=2124.05
epoch=5300, loss=4.62e-03, min_loss=4.58e-03, kld=6.93, recon=4.27e-03, size_dis=0.009, mean_size=0.10, max_size=0.40(1834), time=2143.93
epoch=5400, loss=4.64e-03, min_loss=4.60e-03, kld=6.91, recon=4.29e-03, size_dis=0.009, mean_size=0.10, max_size=0.40(1834), time=2163.84
epoch=5500, loss=4.58e-03, min_loss=4.56e-03, kld=6.96, recon=4.23e-03, size_dis=0.009, mean_size=0.10, max_size=0.41(1834), time=2183.80
epoch=5600, loss=4.58e-03, min_loss=4.57e-03, kld=7.00, recon=4.23e-03, size_dis=0.009, mean_size=0.10, max_size=0.53(2462), time=2203.58
epoch=5700, loss=4.74e-03, min_loss=4.60e-03, kld=6.87, recon=4.39e-03, size_dis=0.009, mean_size=0.09, max_size=0.40(1834), time=2223.22
epoch=5800, loss=4.61e-03, min_loss=4.55e-03, kld=6.84, recon=4.27e-03, size_dis=0.009, mean_size=0.10, max_size=0.42(1834), time=2242.97
epoch=5900, loss=4.65e-03, min_loss=4.55e-03, kld=6.80, recon=4.31e-03, size_dis=0.009, mean_size=0.09, max_size=0.44(3642), time=2262.90
epoch=6000, loss=4.64e-03, min_loss=4.56e-03, kld=6.91, recon=4.29e-03, size_dis=0.009, mean_size=0.10, max_size=0.42(1834), time=2282.55

1386, 1555, acc=4.65e-03, 5.34e-03, 8.28e-03, cov=7.15e-03, 8.25e-03, 1.10e-02

epoch=6100, loss=4.63e-03, min_loss=4.56e-03, kld=6.89, recon=4.28e-03, size_dis=0.009, mean_size=0.10, max_size=0.42(1834), time=2513.53
epoch=6200, loss=4.67e-03, min_loss=4.56e-03, kld=7.00, recon=4.32e-03, size_dis=0.009, mean_size=0.09, max_size=0.42(1834), time=2534.19
epoch=6300, loss=4.60e-03, min_loss=4.57e-03, kld=6.99, recon=4.25e-03, size_dis=0.009, mean_size=0.10, max_size=0.42(1834), time=2554.06
epoch=6400, loss=4.73e-03, min_loss=4.56e-03, kld=6.87, recon=4.38e-03, size_dis=0.009, mean_size=0.10, max_size=0.42(1834), time=2573.94
