nohup: ignoring input
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 64]           1,984
              ReLU-2                   [-1, 64]               0
            Linear-3                  [-1, 128]           8,320
              ReLU-4                  [-1, 128]               0
            Linear-5                  [-1, 256]          33,024
              ReLU-6                  [-1, 256]               0
            Linear-7                  [-1, 128]          32,896
              ReLU-8                  [-1, 128]               0
            Linear-9                   [-1, 64]           8,256
             ReLU-10                   [-1, 64]               0
           Linear-11                   [-1, 32]           2,080
           Linear-12                   [-1, 32]           2,080
================================================================
Total params: 88,640
Trainable params: 88,640
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.01
Params size (MB): 0.34
Estimated Total Size (MB): 0.35
----------------------------------------------------------------
encoder: None
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 64]           2,112
              ReLU-2                   [-1, 64]               0
            Linear-3                  [-1, 128]           8,320
              ReLU-4                  [-1, 128]               0
            Linear-5                  [-1, 256]          33,024
              ReLU-6                  [-1, 256]               0
            Linear-7                  [-1, 128]          32,896
              ReLU-8                  [-1, 128]               0
            Linear-9                   [-1, 64]           8,256
             ReLU-10                   [-1, 64]               0
           Linear-11                   [-1, 30]           1,950
================================================================
Total params: 86,558
Trainable params: 86,558
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.01
Params size (MB): 0.33
Estimated Total Size (MB): 0.34
----------------------------------------------------------------
decoder: None
epoch=0, loss=5.27e-02, min_loss=5.27e-02, kld=0.16, recon=5.27e-02, size_dis=0.451, mean_size=3443.40, max_size=100110.09(999), time=1.00

5655500, 35791, 3.26e-01, 3.27e-01, 4.22e-01, 7.19e-02, 7.19e-02, 7.20e-02

epoch=10000, loss=7.38e-03, min_loss=7.03e-03, kld=20.56, recon=6.97e-03, size_dis=0.039, mean_size=0.34, max_size=24.75(497), time=60.25
epoch=20000, loss=5.90e-03, min_loss=5.67e-03, kld=19.44, recon=5.51e-03, size_dis=0.032, mean_size=0.40, max_size=62.64(496), time=112.56
epoch=30000, loss=5.16e-03, min_loss=4.88e-03, kld=19.12, recon=4.77e-03, size_dis=0.028, mean_size=0.33, max_size=75.60(497), time=164.03
epoch=40000, loss=4.42e-03, min_loss=4.30e-03, kld=18.44, recon=4.05e-03, size_dis=0.025, mean_size=0.25, max_size=16.93(497), time=215.33
epoch=50000, loss=4.14e-03, min_loss=3.85e-03, kld=17.52, recon=3.79e-03, size_dis=0.022, mean_size=0.32, max_size=108.84(496), time=266.37
epoch=60000, loss=3.65e-03, min_loss=3.59e-03, kld=16.43, recon=3.32e-03, size_dis=0.021, mean_size=0.31, max_size=120.35(497), time=316.61
epoch=70000, loss=3.45e-03, min_loss=3.32e-03, kld=15.59, recon=3.14e-03, size_dis=0.020, mean_size=0.48, max_size=294.40(497), time=369.37
epoch=80000, loss=3.30e-03, min_loss=3.20e-03, kld=15.70, recon=2.99e-03, size_dis=0.019, mean_size=0.22, max_size=49.62(496), time=419.79
epoch=90000, loss=2.97e-03, min_loss=2.84e-03, kld=16.29, recon=2.65e-03, size_dis=0.016, mean_size=0.16, max_size=8.08(35), time=470.88
epoch=100000, loss=2.82e-03, min_loss=2.75e-03, kld=15.92, recon=2.50e-03, size_dis=0.015, mean_size=0.15, max_size=4.31(719), time=521.78

10847, 35791, 2.33e-02, 3.22e-02, 6.25e-02, 3.07e-02, 3.54e-02, 4.40e-02

epoch=110000, loss=2.70e-03, min_loss=2.66e-03, kld=15.83, recon=2.38e-03, size_dis=0.015, mean_size=0.15, max_size=4.11(719), time=582.42
epoch=120000, loss=2.61e-03, min_loss=2.50e-03, kld=15.89, recon=2.30e-03, size_dis=0.014, mean_size=0.15, max_size=11.05(192), time=634.02
epoch=130000, loss=2.65e-03, min_loss=2.47e-03, kld=16.37, recon=2.32e-03, size_dis=0.014, mean_size=0.18, max_size=25.85(795), time=684.26
epoch=140000, loss=2.45e-03, min_loss=2.38e-03, kld=16.22, recon=2.13e-03, size_dis=0.013, mean_size=0.16, max_size=17.73(192), time=733.79
epoch=150000, loss=2.55e-03, min_loss=2.35e-03, kld=17.84, recon=2.19e-03, size_dis=0.013, mean_size=0.17, max_size=24.17(192), time=786.45
epoch=160000, loss=2.29e-03, min_loss=2.27e-03, kld=15.90, recon=1.97e-03, size_dis=0.012, mean_size=0.15, max_size=19.78(192), time=837.09
epoch=170000, loss=2.29e-03, min_loss=2.24e-03, kld=15.88, recon=1.97e-03, size_dis=0.012, mean_size=0.17, max_size=34.65(192), time=887.88
epoch=180000, loss=2.28e-03, min_loss=2.21e-03, kld=15.94, recon=1.96e-03, size_dis=0.012, mean_size=0.16, max_size=27.96(192), time=938.80
epoch=190000, loss=2.42e-03, min_loss=2.18e-03, kld=15.91, recon=2.10e-03, size_dis=0.013, mean_size=0.16, max_size=25.61(192), time=990.44
epoch=200000, loss=2.18e-03, min_loss=2.14e-03, kld=15.55, recon=1.86e-03, size_dis=0.011, mean_size=0.15, max_size=27.43(192), time=1040.61

25093, 35791, 2.25e-02, 3.10e-02, 6.43e-02, 2.64e-02, 3.29e-02, 4.32e-02

epoch=210000, loss=2.19e-03, min_loss=2.12e-03, kld=15.63, recon=1.87e-03, size_dis=0.011, mean_size=0.16, max_size=33.80(192), time=1100.55
