nohup: ignoring input
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 28]             868
              ReLU-2                   [-1, 28]               0
            Linear-3                   [-1, 24]             696
              ReLU-4                   [-1, 24]               0
            Linear-5                   [-1, 20]             500
              ReLU-6                   [-1, 20]               0
            Linear-7                   [-1, 16]             336
            Linear-8                   [-1, 16]             336
================================================================
Total params: 2,736
Trainable params: 2,736
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.00
Params size (MB): 0.01
Estimated Total Size (MB): 0.01
----------------------------------------------------------------
encoder: None
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 20]             340
              ReLU-2                   [-1, 20]               0
            Linear-3                   [-1, 24]             504
              ReLU-4                   [-1, 24]               0
            Linear-5                   [-1, 28]             700
              ReLU-6                   [-1, 28]               0
            Linear-7                   [-1, 30]             870
================================================================
Total params: 2,414
Trainable params: 2,414
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.00
Params size (MB): 0.01
Estimated Total Size (MB): 0.01
----------------------------------------------------------------
decoder: None
epoch=100, loss=1.59e-02, min_loss=1.59e-02, kld=33.14, recon=1.51e-02, size_dis=0.093, mean_size=13.00, max_size=3112.04(461), time=2.89
epoch=200, loss=1.32e-02, min_loss=1.31e-02, kld=34.44, recon=1.23e-02, size_dis=0.070, mean_size=1.44, max_size=425.75(997), time=5.76
epoch=300, loss=1.25e-02, min_loss=1.23e-02, kld=33.71, recon=1.16e-02, size_dis=0.064, mean_size=0.66, max_size=72.58(998), time=8.64
epoch=400, loss=1.14e-02, min_loss=1.14e-02, kld=33.39, recon=1.06e-02, size_dis=0.057, mean_size=0.69, max_size=105.27(999), time=11.49
epoch=500, loss=1.09e-02, min_loss=1.09e-02, kld=32.80, recon=1.01e-02, size_dis=0.055, mean_size=0.65, max_size=91.08(999), time=14.39
epoch=600, loss=1.07e-02, min_loss=1.07e-02, kld=31.89, recon=9.86e-03, size_dis=0.054, mean_size=2.20, max_size=720.46(998), time=17.31
epoch=700, loss=1.05e-02, min_loss=1.04e-02, kld=31.59, recon=9.72e-03, size_dis=0.052, mean_size=1.05, max_size=315.39(999), time=20.10
epoch=800, loss=1.04e-02, min_loss=1.03e-02, kld=30.87, recon=9.64e-03, size_dis=0.051, mean_size=3.21, max_size=1584.87(997), time=22.83
epoch=900, loss=1.01e-02, min_loss=1.01e-02, kld=30.50, recon=9.35e-03, size_dis=0.050, mean_size=1.38, max_size=493.36(997), time=25.74
epoch=1000, loss=9.86e-03, min_loss=9.84e-03, kld=30.22, recon=9.10e-03, size_dis=0.049, mean_size=1.90, max_size=698.07(999), time=28.68

20715, 35791, acc=3.28e-02, 4.18e-02, 6.91e-02, cov=3.27e-02, 4.06e-02, 7.30e-02

epoch=1100, loss=9.81e-03, min_loss=9.73e-03, kld=29.91, recon=9.07e-03, size_dis=0.049, mean_size=1.02, max_size=469.68(997), time=39.71
epoch=1200, loss=9.73e-03, min_loss=9.62e-03, kld=29.17, recon=9.00e-03, size_dis=0.048, mean_size=0.68, max_size=160.09(997), time=42.63
epoch=1300, loss=9.64e-03, min_loss=9.54e-03, kld=29.56, recon=8.90e-03, size_dis=0.047, mean_size=1.74, max_size=849.67(997), time=45.53
epoch=1400, loss=9.53e-03, min_loss=9.40e-03, kld=29.27, recon=8.80e-03, size_dis=0.047, mean_size=1.04, max_size=458.10(999), time=48.42
epoch=1500, loss=9.36e-03, min_loss=9.29e-03, kld=28.76, recon=8.64e-03, size_dis=0.046, mean_size=0.59, max_size=247.69(997), time=51.37
epoch=1600, loss=9.21e-03, min_loss=9.20e-03, kld=28.91, recon=8.49e-03, size_dis=0.046, mean_size=0.46, max_size=73.55(999), time=54.29
epoch=1700, loss=9.27e-03, min_loss=9.16e-03, kld=28.17, recon=8.57e-03, size_dis=0.046, mean_size=0.62, max_size=186.43(999), time=57.21
epoch=1800, loss=9.19e-03, min_loss=9.10e-03, kld=28.09, recon=8.49e-03, size_dis=0.045, mean_size=0.69, max_size=337.83(997), time=60.13
epoch=1900, loss=9.05e-03, min_loss=9.01e-03, kld=27.96, recon=8.35e-03, size_dis=0.045, mean_size=0.46, max_size=79.68(997), time=63.01
epoch=2000, loss=9.09e-03, min_loss=8.93e-03, kld=27.45, recon=8.41e-03, size_dis=0.045, mean_size=0.61, max_size=159.08(997), time=65.76

